churn,gender,level,timedelta,nb_unique_songs,nb_total_songs,nb_unique_artists,total_length,total_add_playlist,total_add_friend,total_thumbs_up,total_thumbs_down,total_ads,think_upgrade,has_upgraded,think_downgrade,has_downgraded,nb_404,Windows 8,iPad,iPhone,Macintosh,Linux,Unknown,Windows Vista,Windows 81,Windows XP,Windows Seven
0,0,1,99,788.0,848.0,656.0,207102.64877,13.0,19.0,47.0,11.0,13.0,1.0,1.0,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
0,0,1,63,686.0,731.0,607.0,181414.51265,24.0,10.0,70.0,6.0,22.0,6.0,2.0,7.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0
0,1,0,117,457.0,480.0,422.0,123071.83463000006,19.0,16.0,22.0,4.0,36.0,4.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0
0,0,1,136,1203.0,1302.0,975.0,321297.22508,37.0,27.0,60.0,14.0,28.0,3.0,1.0,11.0,0.0,2.0,0,0,0,0,0,0,0,0,0,1
1,1,0,51,224.0,231.0,213.0,55511.66667000001,2.0,2.0,10.0,4.0,43.0,3.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,0,1,93,2323.0,2663.0,1684.0,660566.6424100003,84.0,35.0,147.0,27.0,7.0,0.0,0.0,23.0,0.0,7.0,0,0,0,0,0,0,0,0,0,1
0,1,1,178,518.0,552.0,470.0,142335.98481,19.0,7.0,23.0,6.0,24.0,1.0,0.0,5.0,1.0,2.0,0,0,0,0,0,0,0,0,0,1
0,1,1,71,1958.0,2216.0,1434.0,557463.94221,63.0,40.0,113.0,28.0,1.0,0.0,0.0,23.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0
0,1,0,61,62.0,62.0,60.0,15649.460899999995,2.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,1,1,83,2872.0,3451.0,1994.0,854859.7425600002,107.0,43.0,178.0,31.0,38.0,8.0,2.0,33.0,1.0,3.0,0,0,0,0,0,0,0,0,0,1
0,1,1,86,3879.0,4779.0,2535.0,1181907.0706900002,137.0,96.0,250.0,50.0,76.0,5.0,3.0,44.0,2.0,6.0,0,0,0,0,0,0,0,1,0,0
1,1,1,52,447.0,470.0,400.0,114434.47748000006,11.0,11.0,23.0,7.0,47.0,4.0,1.0,6.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1
0,1,1,71,577.0,607.0,504.0,148756.85789999994,17.0,4.0,30.0,8.0,1.0,0.0,0.0,7.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1
0,0,0,68,662.0,714.0,577.0,175032.77991999994,25.0,27.0,34.0,8.0,70.0,11.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1
0,0,1,60,1473.0,1673.0,1162.0,410799.9337199999,66.0,25.0,78.0,16.0,9.0,2.0,1.0,20.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
0,1,1,77,3008.0,3593.0,2055.0,894953.2122600001,117.0,74.0,197.0,39.0,40.0,5.0,1.0,45.0,1.0,5.0,0,0,0,1,0,0,0,0,0,0
0,0,1,118,676.0,708.0,586.0,176685.83729000008,25.0,7.0,22.0,6.0,39.0,1.0,1.0,4.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
0,1,1,82,1737.0,1967.0,1349.0,496105.531,59.0,35.0,166.0,18.0,6.0,1.0,1.0,9.0,0.0,5.0,0,0,0,0,0,0,0,0,0,1
0,0,1,64,726.0,769.0,623.0,190675.97467999998,23.0,25.0,36.0,5.0,9.0,2.0,1.0,4.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,1,1,74,954.0,1043.0,782.0,260582.08369999987,41.0,8.0,56.0,8.0,1.0,0.0,0.0,11.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1
1,1,1,93,177.0,179.0,168.0,44019.77193,2.0,6.0,14.0,1.0,4.0,3.0,1.0,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,1,1,59,374.0,389.0,345.0,99779.63743,15.0,9.0,22.0,4.0,28.0,6.0,2.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1
0,1,1,97,1720.0,1946.0,1318.0,485055.69243,55.0,35.0,181.0,27.0,9.0,2.0,1.0,8.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,0,1,54,936.0,1023.0,765.0,258529.15569000004,37.0,15.0,56.0,9.0,23.0,2.0,1.0,14.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
0,0,0,46,32.0,32.0,32.0,7842.2059,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
1,1,1,35,179.0,181.0,173.0,44514.53022999999,5.0,3.0,15.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1
0,1,1,92,1106.0,1232.0,871.0,308561.98852,30.0,22.0,50.0,16.0,50.0,8.0,1.0,3.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0
0,0,1,118,902.0,974.0,749.0,243802.54296,21.0,13.0,49.0,9.0,1.0,0.0,0.0,11.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
1,0,0,69,91.0,91.0,86.0,23079.168539999995,2.0,0.0,10.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0
1,1,1,250,1162.0,1272.0,942.0,317196.14491000003,50.0,13.0,67.0,10.0,10.0,2.0,1.0,11.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
0,0,1,95,321.0,334.0,290.0,80969.27867,9.0,4.0,19.0,2.0,25.0,3.0,1.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
1,1,1,38,307.0,315.0,291.0,79147.74289000002,7.0,14.0,11.0,2.0,10.0,0.0,0.0,6.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0
1,1,1,17,37.0,37.0,37.0,8629.42973,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
0,0,0,78,619.0,657.0,554.0,164567.05571,24.0,10.0,32.0,17.0,52.0,4.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,1,0,117,112.0,115.0,109.0,27489.854830000004,3.0,1.0,7.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
0,1,0,127,441.0,471.0,381.0,113752.08030000006,20.0,9.0,23.0,3.0,36.0,6.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
0,1,1,83,3358.0,4061.0,2252.0,1007378.61254,115.0,65.0,207.0,45.0,6.0,2.0,2.0,41.0,1.0,7.0,0,0,0,0,0,0,0,0,0,1
1,0,1,50,417.0,435.0,374.0,108987.51868,16.0,5.0,16.0,7.0,4.0,0.0,0.0,3.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,0,0,118,169.0,172.0,164.0,45533.02242,8.0,1.0,5.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,0,1,110,337.0,347.0,304.0,85877.13245999996,8.0,4.0,27.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
1,1,1,65,349.0,361.0,322.0,87968.56777000008,9.0,5.0,20.0,3.0,21.0,3.0,2.0,4.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0
0,0,0,64,308.0,321.0,284.0,78136.59243000003,8.0,6.0,16.0,2.0,33.0,2.0,0.0,0.0,0.0,2.0,0,0,0,1,0,0,0,0,0,0
1,0,1,13,138.0,141.0,131.0,35037.27158999998,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
0,1,0,42,41.0,41.0,41.0,9845.323470000001,0.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,1,0,91,130.0,132.0,127.0,31810.500110000015,2.0,1.0,5.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,0,0,98,204.0,209.0,188.0,51332.555010000004,6.0,9.0,9.0,6.0,17.0,2.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,0,0,83,13.0,13.0,13.0,2884.87899,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
1,0,0,62,126.0,128.0,122.0,31802.84809000001,3.0,1.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
0,0,1,106,1057.0,1135.0,866.0,289641.02011000004,39.0,21.0,65.0,15.0,20.0,4.0,1.0,6.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0
0,0,1,129,838.0,907.0,704.0,223532.67614,20.0,21.0,49.0,13.0,10.0,1.0,1.0,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
0,0,1,118,1776.0,2014.0,1320.0,507976.09922,57.0,40.0,98.0,22.0,2.0,0.0,0.0,18.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0
0,1,0,84,251.0,259.0,226.0,65158.77892000001,5.0,6.0,10.0,4.0,19.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1
1,0,0,100,40.0,40.0,38.0,10127.89044,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
0,0,1,66,1255.0,1378.0,990.0,342816.31557,41.0,28.0,68.0,11.0,18.0,5.0,1.0,16.0,0.0,3.0,0,0,0,0,0,0,0,0,0,1
0,0,1,222,425.0,443.0,385.0,109738.74440999998,14.0,10.0,27.0,4.0,16.0,2.0,1.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1
1,0,1,34,648.0,684.0,560.0,168990.85384,24.0,12.0,31.0,16.0,53.0,9.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,0,1,132,2883.0,3436.0,2026.0,847312.2313799999,85.0,55.0,181.0,34.0,51.0,7.0,2.0,37.0,2.0,3.0,0,0,0,1,0,0,0,0,0,0
0,1,0,51,111.0,115.0,107.0,28092.29083,4.0,1.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
0,1,0,124,69.0,69.0,68.0,17779.247090000004,3.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
0,1,0,247,107.0,107.0,104.0,26505.46001999999,1.0,2.0,8.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
0,0,1,66,988.0,1066.0,793.0,264968.08470999997,20.0,28.0,53.0,10.0,19.0,7.0,1.0,16.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0
0,0,1,103,1101.0,1209.0,909.0,297048.39876999997,37.0,26.0,51.0,16.0,38.0,6.0,1.0,9.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
0,0,1,87,1482.0,1640.0,1155.0,407618.4955800001,44.0,46.0,81.0,17.0,6.0,1.0,1.0,17.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0
0,0,1,123,2063.0,2382.0,1544.0,586219.0147599999,71.0,29.0,217.0,17.0,6.0,1.0,1.0,11.0,0.0,3.0,0,0,0,1,0,0,0,0,0,0
1,1,0,31,1.0,1.0,1.0,194.53342,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0
0,1,1,62,94.0,95.0,93.0,23955.52264,4.0,1.0,6.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
0,0,1,63,477.0,501.0,420.0,124603.51499000001,14.0,4.0,50.0,5.0,7.0,6.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
1,1,1,45,675.0,718.0,589.0,179379.63190000004,16.0,9.0,30.0,9.0,19.0,5.0,2.0,3.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0
1,1,1,65,486.0,514.0,426.0,131274.21599,10.0,6.0,25.0,5.0,13.0,1.0,1.0,4.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
0,1,0,68,454.0,468.0,404.0,115957.86127000001,14.0,7.0,18.0,4.0,30.0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
0,1,1,93,164.0,167.0,159.0,42412.75041,3.0,2.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,1,1,66,833.0,881.0,699.0,220382.24221,27.0,19.0,40.0,25.0,37.0,2.0,1.0,8.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
0,0,1,77,245.0,252.0,235.0,61669.18856000001,11.0,5.0,6.0,2.0,7.0,2.0,1.0,6.0,2.0,1.0,0,0,0,0,0,0,0,0,1,0
0,0,1,46,303.0,313.0,270.0,79337.23601999997,7.0,2.0,22.0,2.0,5.0,0.0,0.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1
0,1,1,75,305.0,316.0,292.0,76958.28935999997,7.0,4.0,12.0,2.0,12.0,2.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0
0,0,1,68,1078.0,1180.0,856.0,289448.29435000004,36.0,16.0,52.0,12.0,1.0,0.0,0.0,6.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1,1,1,67,552.0,574.0,480.0,144031.7396899999,15.0,15.0,26.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,0,1,56,323.0,330.0,296.0,80901.75401000005,10.0,10.0,30.0,4.0,24.0,4.0,1.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
0,0,1,181,1200.0,1328.0,943.0,327929.54975,30.0,22.0,82.0,16.0,6.0,2.0,1.0,11.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0
0,0,1,125,449.0,468.0,390.0,114788.38528,18.0,12.0,22.0,6.0,4.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1
0,1,0,5,54.0,56.0,54.0,14000.301140000005,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
0,0,1,138,1524.0,1702.0,1184.0,418236.11958,47.0,47.0,157.0,18.0,2.0,0.0,0.0,13.0,0.0,3.0,0,0,0,0,0,0,0,1,0,0
0,1,1,62,224.0,232.0,210.0,60573.72666999999,4.0,3.0,10.0,8.0,21.0,4.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
1,1,1,157,318.0,332.0,283.0,83697.90007999999,12.0,7.0,16.0,2.0,6.0,0.0,0.0,5.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0
0,0,1,72,816.0,878.0,703.0,217505.35195,36.0,25.0,44.0,16.0,105.0,9.0,4.0,11.0,4.0,2.0,0,1,0,0,0,0,0,0,0,0
1,1,1,121,2395.0,2758.0,1715.0,690692.05198,80.0,31.0,149.0,73.0,3.0,1.0,1.0,37.0,1.0,5.0,0,1,0,0,0,0,0,0,0,0
1,0,0,97,83.0,87.0,82.0,21481.12959,2.0,0.0,7.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
1,1,1,43,1350.0,1499.0,1081.0,378543.56859,37.0,24.0,81.0,14.0,43.0,5.0,2.0,12.0,1.0,4.0,0,0,0,0,0,0,0,0,0,1
0,1,1,62,1352.0,1497.0,1067.0,368946.33829,52.0,31.0,127.0,23.0,4.0,3.0,1.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1
0,0,1,102,319.0,328.0,300.0,80825.84312,7.0,3.0,17.0,5.0,6.0,3.0,1.0,5.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
0,0,1,69,382.0,394.0,344.0,99018.11356,9.0,2.0,32.0,5.0,8.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
0,0,0,100,71.0,73.0,69.0,20288.14973,2.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
0,1,1,74,1954.0,2279.0,1468.0,565913.4546800001,83.0,48.0,102.0,20.0,1.0,0.0,0.0,16.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
1,1,1,106,1242.0,1370.0,996.0,347589.28267000004,26.0,23.0,75.0,9.0,2.0,0.0,0.0,16.0,0.0,3.0,0,0,0,1,0,0,0,0,0,0
1,1,1,136,1841.0,2084.0,1379.0,515408.5313299999,59.0,51.0,111.0,25.0,34.0,5.0,2.0,22.0,1.0,2.0,0,0,0,1,0,0,0,0,0,0
0,1,1,59,475.0,494.0,425.0,124086.29356,18.0,11.0,43.0,6.0,0.0,1.0,1.0,5.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0
0,0,1,114,2324.0,2715.0,1695.0,666231.58516,85.0,36.0,262.0,24.0,5.0,3.0,1.0,16.0,0.0,2.0,0,0,0,0,0,0,0,0,0,1
0,1,1,108,2249.0,2606.0,1636.0,636815.98033,69.0,77.0,139.0,23.0,5.0,2.0,2.0,22.0,1.0,2.0,0,0,0,1,0,0,0,0,0,0
1,0,1,62,648.0,682.0,569.0,170612.74549999993,25.0,8.0,34.0,9.0,67.0,6.0,1.0,7.0,0.0,2.0,0,0,0,1,0,0,0,0,0,0
0,1,0,24,67.0,67.0,64.0,17130.261850000006,2.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0
1,0,1,106,987.0,1063.0,828.0,263797.9572800001,35.0,23.0,44.0,14.0,22.0,3.0,1.0,14.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
0,0,1,78,559.0,584.0,492.0,145334.46174,20.0,12.0,29.0,3.0,12.0,2.0,1.0,9.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1
0,1,1,151,1714.0,1915.0,1298.0,479074.1616899999,48.0,35.0,82.0,20.0,12.0,1.0,1.0,17.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0
0,1,1,66,617.0,655.0,520.0,163464.06223000007,21.0,7.0,70.0,9.0,0.0,2.0,1.0,2.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
0,1,1,89,1913.0,2213.0,1413.0,552244.62616,55.0,40.0,116.0,12.0,41.0,9.0,2.0,27.0,2.0,3.0,0,0,0,1,0,0,0,0,0,0
0,0,1,63,814.0,867.0,665.0,215574.82979000002,21.0,11.0,37.0,7.0,35.0,2.0,0.0,7.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1
1,0,0,107,634.0,668.0,545.0,167655.66439000005,18.0,20.0,36.0,14.0,98.0,7.0,0.0,0.0,0.0,2.0,0,0,0,1,0,0,0,0,0,0
0,0,1,48,423.0,435.0,379.0,109440.11624,12.0,10.0,22.0,6.0,18.0,4.0,1.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1
0,1,1,50,1009.0,1081.0,818.0,270937.94579000014,32.0,18.0,98.0,12.0,13.0,3.0,1.0,5.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1
0,1,1,71,855.0,946.0,703.0,236023.49932000003,25.0,8.0,54.0,6.0,5.0,1.0,1.0,10.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0
0,1,1,68,575.0,609.0,517.0,154148.79171,13.0,15.0,37.0,6.0,15.0,4.0,1.0,6.0,1.0,2.0,0,0,0,0,0,0,0,0,0,1
1,0,0,10,85.0,86.0,82.0,21746.377320000003,1.0,0.0,6.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,1,1,84,2120.0,2444.0,1593.0,604150.7416500001,79.0,32.0,244.0,29.0,6.0,0.0,0.0,4.0,0.0,6.0,0,0,1,0,0,0,0,0,0,0
0,1,1,64,2210.0,2560.0,1599.0,640143.13974,84.0,39.0,115.0,33.0,36.0,5.0,1.0,29.0,1.0,6.0,0,0,0,1,0,0,0,0,0,0
0,0,1,62,202.0,212.0,190.0,50963.86142999998,10.0,6.0,19.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,1,1,75,133.0,135.0,130.0,32845.62693,5.0,0.0,12.0,0.0,10.0,2.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
1,0,1,59,111.0,112.0,110.0,27377.79087,2.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,1,1,50,19.0,20.0,19.0,4693.829310000001,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0
1,0,1,79,716.0,757.0,620.0,184878.80761000005,15.0,11.0,47.0,4.0,49.0,4.0,1.0,2.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
0,1,0,52,58.0,58.0,57.0,14160.69207,0.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
1,0,1,60,324.0,338.0,296.0,88068.75771,9.0,6.0,19.0,5.0,23.0,3.0,1.0,5.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0
0,0,1,84,1511.0,1674.0,1172.0,418909.0727100001,52.0,21.0,87.0,20.0,12.0,3.0,1.0,20.0,0.0,2.0,0,0,0,1,0,0,0,0,0,0
0,0,1,54,411.0,432.0,362.0,108178.45548999998,13.0,8.0,24.0,10.0,29.0,6.0,2.0,3.0,2.0,1.0,0,0,0,0,0,0,0,1,0,0
0,1,1,62,2747.0,3227.0,1942.0,804092.57771,123.0,56.0,279.0,27.0,13.0,2.0,2.0,17.0,1.0,3.0,0,0,0,0,0,0,0,0,0,1
0,1,0,49,75.0,76.0,75.0,18283.98187,6.0,0.0,5.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
0,0,1,100,802.0,853.0,691.0,211930.38857,25.0,6.0,49.0,8.0,24.0,3.0,1.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
0,0,1,130,3172.0,3786.0,2151.0,929518.45322,108.0,75.0,169.0,31.0,33.0,6.0,2.0,35.0,1.0,2.0,0,0,0,1,0,0,0,0,0,0
0,1,1,71,259.0,263.0,238.0,66367.01887,7.0,1.0,27.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
1,0,1,71,795.0,851.0,656.0,216817.03799,19.0,17.0,50.0,2.0,3.0,1.0,1.0,11.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1
0,0,1,98,349.0,364.0,315.0,90252.89609000002,11.0,3.0,28.0,14.0,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0
0,1,1,69,686.0,735.0,572.0,179506.47498000003,17.0,8.0,67.0,6.0,1.0,1.0,1.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
0,0,1,168,6216.0,8476.0,3683.0,2118302.847260001,231.0,172.0,439.0,87.0,106.0,12.0,2.0,97.0,1.0,10.0,0,0,0,0,0,0,0,0,0,1
0,1,0,60,370.0,389.0,338.0,95521.05144999996,10.0,10.0,23.0,4.0,29.0,2.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,0,0,81,290.0,295.0,261.0,70848.02302000001,5.0,4.0,17.0,5.0,24.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,0,1,115,962.0,1041.0,794.0,254318.8094600001,21.0,13.0,47.0,9.0,11.0,2.0,1.0,11.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
0,1,1,89,207.0,217.0,189.0,54324.74732,11.0,0.0,17.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,1,1,58,962.0,1045.0,803.0,258803.50970000005,34.0,15.0,35.0,9.0,1.0,0.0,0.0,15.0,0.0,2.0,0,0,0,1,0,0,0,0,0,0
0,0,1,170,821.0,884.0,685.0,225450.25693000003,25.0,21.0,74.0,12.0,2.0,2.0,1.0,7.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,1,1,159,1232.0,1351.0,1005.0,335312.8635,40.0,23.0,70.0,8.0,23.0,3.0,1.0,14.0,0.0,2.0,0,0,0,0,0,0,0,0,0,1
0,0,1,113,996.0,1082.0,824.0,272143.57465,26.0,25.0,44.0,15.0,20.0,2.0,1.0,3.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
0,1,0,54,396.0,405.0,359.0,105462.64727999998,14.0,10.0,22.0,1.0,35.0,4.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
0,1,1,61,2496.0,2899.0,1775.0,725221.44967,85.0,44.0,156.0,26.0,54.0,6.0,1.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
0,0,0,75,74.0,75.0,73.0,20194.578260000006,2.0,2.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
